Gene	state
Ckb	1
Tfcp2l1	1
Trpm1	1
Asns	1
Lin28a	-1
Crxos1	1
Spp1	1
Gpx1	1
Spic	1
Foxp1	-1
Tbx3	1
Tdh	1
Utf1	-1
Epcam	-1
Ephx2	1
Dnmt3l	-1
Morc1	1
Tcl1	1
Gja1	-1
Nanog	1
Prrc1	1
Lpar1	1
Aqp3	1
Skil	-1
Jam2	1
Ldha	-1
Bcat1	1
Renbp	1
Calcoco2	1
Pdk1	-1
Lap3	1
Npc2	1
Nupr1	1
Phf11d	1
Gabarapl2	1
Nid1	1
Cldn6	-1
Spry4	-1
Cd9	1
Gjb3	1
2310043M15Rik	1
Sfrp1	1
Kit	1
Sp100	1
Gss	1
Zc3hav1	1
Emb	-1
Adam23	-1
Oas1a	1
Mitf	1
Gm16880	-1
Gm13230	1
Eno1	-1
Alpl	1
Pla1a	1
Car8	1
AI662270	1
Ly75	1
Accsl	1
Dnmt3a	-1
Peg10	-1
Epha4	1
Eif2s2	1
1700061G19Rik	1
Snrpn	-1
Esrp1	-1
Meis2	1
Cd63	1
Adk	-1
Enpp3	-1
Slc4a5	1
Ldhb	1
Gm5424	1
H2-M6-ps	1
Tiam2	1
Klf4	1
Mcf2	1
Myl9	-1
Bnip3	-1
Car4	-1
Nqo1	1
Prdx6	-1
Aldh1l1	1
Elf3	1
Mar-02	1
Dnmt3b	-1
Ass1	1
Sod2	1
Cldn7	-1
Trap1a	1
Cgn	-1
Slc1a3	-1
Kdm3a	1
Qpct	1
Dleu2	1
Calca	-1
Lrrc34	1
Phlda2	-1
4930513N10Rik	1
Jarid2	-1
Glrx	1
Col18a1	-1
Plagl1	1
Mkrn1	-1
Dnah8	1
Mylpf	1
Aurkc	1
Rpl10l	1
Kat6b	1
Fam60a	-1
Oat	1
Ap1m2	-1
Gcat	1
Ccdc141	1
Fn1	1
Lima1	1
Naa35	1
Pdgfa	1
Aspa	1
A4galt	1
Aldoa	-1
Lgr4	-1
Bex1	-1
2210409E12Rik	1
Zfp42	1
Stk38	1
Slc7a7	-1
Acadm	1
Coil	1
4930447C04Rik	-1
Xlr3b	1
Ttn	1
Pdlim7	-1
Aoah	1
Tada3	1
Asah1	1
Serpinb1a	1
Ptprf	-1
Ttyh2	1
Tdrp	1
Rlim	-1
Baz2b	1
Ctsb	1
Idh2	1
Gm13154	1
Vmn2r-ps20	1
Pdp2	1
mt-Co1	1
M1ap	1
Cdo1	1
Idh1	1
Yes1	1
Dnpep	1
Map1lc3b	1
Cst3	1
Ceacam10	1
Gm5506	-1
Odc1	-1
Ildr1	1
Fbp2	1
Glb1	1
Ina	-1
Mtm1	1
Zbtb44	1
Uhrf1	1
Dusp6	-1
Maml2	1
Pfkl	-1
Klhl22	1
Cd38	1
Dstn	-1
Grb7	-1
Pfkp	1
Nfatc2ip	1
Gm13225	1
Cdkn1a	1
Tdgf1	-1
D230025D16Rik	1
Trim71	-1
Pglyrp1	1
Tmsb4x	-1
Ctsa	1
Ctsc	1
Aff1	1
Ash2l	1
Mal2	-1
Usp37	1
Cnn2	-1
Gm13580	1
Slc2a1	-1
Zfp57	1
Esrrb	1
Pias2	1
Aox3	1
Fetub	1
Vim	1
Lrrfip1	-1
Gm10499	1
Atp6ap2	1
Gm6792	1
Ptprs	-1
Soat1	-1
Steap1	-1
Tuba3a	1
G2e3	-1
Lypla1	1
Gstp2	1
Mif	-1
Acss1	1
Ubxn2a	1
Cndp2	1
Ptrf	-1
2810417H13Rik	-1
Gstp1	1
Rpp25	1
Acaa2	1
Ccdc43	1
Mapt	1
Sema3e	-1
Ostf1	1
Hexa	1
Zfp229	1
Myc	-1
Ppic	1
Lamp2	1
Gstm1	1
Rpl39l	1
Ly6g6e	1
Tpi1	-1
Serpinb6c	1
Zfp961	1
Jakmip1	1
Gng3	-1
2700094K13Rik	1
9630033F20Rik	1
Sdc2	1
Jam3	1
Zfp951	1
Hdac1	1
Slc25a4	-1
Spred1	-1
Rnf181	1
Fam213a	1
Pkm	-1
Steap2	-1
Tes	1
Etfb	1
Hsf2bp	1
Fth1	-1
Gm10621	1
Gm8292	1
Fam25c	1
Rps4y2	1
Plekhb2	1
Sec23a	1
Rhoc	-1
Mier3	1
9030617O03Rik	1
Gsta4	1
Agk	1
Mras	1
Nfib	1
Cbx1	-1
Dtd1	-1
Gadd45a	-1
Sepw1	1
Tpm2	-1
Mest	-1
Arih2	1
Vangl1	1
Ppid	-1
Ywhaz	-1
Rnf213	1
Ttc28	1
1700013H16Rik	1
Ak4	1
Gm26924	-1
Cth	1
Eif1ax	-1
Gm2373	1
Cdkn1c	-1
Tuba1a	-1
Adprh	1
Fam21	1
Dppa4	-1
L1td1	-1
Gsto1	1
Pmaip1	-1
Slit2	1
Phc1	-1
Grsf1	1
Gm26624	1
Fam81a	1
Cd63-ps	1
Pkp2	-1
Mtap7d3	-1
Zdbf2	-1
Cdk2	1
Fkbp1a	-1
Anxa3	-1
Txnip	-1
Per3	-1
Gm13251	1
Lin28b	-1
Rcn1	1
Nedd4	-1
Lrrc15	1
Zeb1	1
Cat	1
Arid5b	1
Gm12463	1
Klf2	1
Pdxk	1
Thbs1	-1
Trp53	1
2410137M14Rik	1
Tubb6	-1
Ccdc93	1
Marcks	-1
Fkbp6	1
Gm9892	1
Fancm	1
Eno3	-1
Prdm14	1
Dok2	-1
Hnrnpf	1
Rab31	-1
Gbp2	-1
Nr0b1	1
Ulk1	1
Gpx2	1
Fry	1
Nt5dc2	-1
Dnase2a	1
Zfp600	1
Acsl4	-1
Ebf1	1
Epn2	1
Cfp	1
Braf	-1
Mavs	1
Pgm1	1
Cggbp1	1
Cd55	1
Hook1	-1
Aldh9a1	-1
Grn	1
Acly	1
Cd37	1
Fubp1	-1
Igf2bp1	-1
Ssbp3	-1
Vps26a	1
Cpt1a	1
Rpl32	1
Suz12	1
Fabp3	1
Dazl	1
Nudt5	-1
Rbbp7	-1
Sh3bgrl	-1
Hexb	1
Tspan14	1
Tpm1	-1
Lphn2	-1
Spry2	-1
Lhpp	1
Rian	-1
Tagln	-1
Armcx2	-1
Grb10	-1
Gstt2	-1
mt-Cytb	1
Vdac1	1
Slc39a11	1
Sin3b	1
Slc25a20	1
Piga	1
Cdc5l	1
Dlg5	1
Ablim1	1
Inpp5d	1
Ccbl2	1
Zfp148	1
Sall3	1
Vps54	1
Myof	1
Chd9	-1
Dnajc6	1
Sfn	-1
Tmem2	-1
Spint2	-1
Pgk1	-1
Actn4	-1
Rps6ka6	-1
Prtg	-1
Ece1	-1
Zfp59	1
Lpl	1
Tpm3	1
Aplp1	-1
Zfp296	1
Ddx4	-1
Atp1b1	1
Glud1	-1
Sgk1	1
Ifitm2	1
Dusp3	-1
Gdf3	1
Lcp1	1
Ccne1	-1
Cox6b1	1
Pde8a	1
Gm4735	-1
Naa40	1
Ppt1	1
Pole4	1
Hprt	-1
Foxn3	-1
Ttc21b	-1
Qser1	-1
Ap1m1	1
4930519F16Rik	1
Tor1aip2	1
Slc25a36	1
Vwf	1
Wsb1	1
BC016423	-1
Gnl3l	-1
Enc1	-1
Ist1	1
Zfp936	1
Basp1	-1
Spta1	-1
Qk	1
Tet2	1
Actb	-1
Dpp4	1
Dhx16	1
Abcc5	1
mt-Nd1	1
Dennd2c	1
Krt18	-1
Smtnl2	1
Eif4a2	1
Etv5	1
Txnrd1	-1
Ech1	1
Crmp1	-1
H2-M5	1
Mapk1ip1l	-1
Lrrc31	1
Slc38a2	-1
Wbp5	-1
Myo1b	1
Cln6	-1
Mfge8	1
Laptm4b	-1
Fryl	1
Slc12a7	1
Lrp2	-1
Zyx	-1
Myh10	-1
2610037D02Rik	-1
